city,price_bus,price_train,stops_bus,stops_train,density,hhsize,homeown,d_ib,d_it
nr_10,8.67,0.0,49,0,7.07,2,1,0,0
nr_1,4.24,0.0,21,0,2.32,4,0,0,0
nr_2,6.62,0.0,38,0,5.91,2,0,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,2,0,0,0
nr_5,8.19,0.0,45,0,6.19,5,1,0,0
nr_6,4.88,0.0,29,0,4.47,4,1,1,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,4,0,1,0
nr_9,2.22,0.0,11,0,1.07,3,0,1,0
nr_10,8.67,0.0,49,0,7.07,1,1,0,0
nr_1,4.24,0.0,21,0,2.32,6,1,0,0
nr_2,6.62,0.0,38,0,5.91,3,1,1,0
nr_3,5.31,0.0,27,0,4.08,4,0,0,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,0,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,1,0
nr_7,2.98,0.0,11,0,1.31,5,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,0,0
nr_9,2.22,0.0,11,0,1.07,2,1,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,0,0
nr_1,4.24,0.0,21,0,2.32,3,1,0,0
nr_2,6.62,0.0,38,0,5.91,1,0,1,0
nr_3,5.31,0.0,27,0,4.08,1,1,0,0
nr_4,4.53,0.0,25,0,3.24,3,1,1,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,2,0,1,0
nr_7,2.98,0.0,11,0,1.31,4,1,0,0
nr_8,6.77,0.0,39,0,5.68,4,1,0,0
nr_9,2.22,0.0,11,0,1.07,2,1,1,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,4,1,0,0
nr_2,6.62,0.0,38,0,5.91,2,1,1,0
nr_3,5.31,0.0,27,0,4.08,3,1,1,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,1,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,1,0,0
nr_9,2.22,0.0,11,0,1.07,5,0,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,1,0
nr_1,4.24,0.0,21,0,2.32,5,1,0,0
nr_2,6.62,0.0,38,0,5.91,1,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,1,0
nr_6,4.88,0.0,29,0,4.47,2,0,0,0
nr_7,2.98,0.0,11,0,1.31,3,1,0,0
nr_8,6.77,0.0,39,0,5.68,5,1,0,0
nr_9,2.22,0.0,11,0,1.07,2,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,3,1,0,0
nr_2,6.62,0.0,38,0,5.91,1,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,0,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,4,1,0,0
nr_6,4.88,0.0,29,0,4.47,4,1,0,0
nr_7,2.98,0.0,11,0,1.31,1,0,0,0
nr_8,6.77,0.0,39,0,5.68,1,1,0,0
nr_9,2.22,0.0,11,0,1.07,7,0,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,3,0,1,0
nr_2,6.62,0.0,38,0,5.91,3,1,0,0
nr_3,5.31,0.0,27,0,4.08,4,1,0,0
nr_4,4.53,0.0,25,0,3.24,3,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,0,0
nr_6,4.88,0.0,29,0,4.47,1,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,0,0
nr_9,2.22,0.0,11,0,1.07,4,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,0,1,0
nr_1,4.24,0.0,21,0,2.32,3,0,0,0
nr_2,6.62,0.0,38,0,5.91,3,1,1,0
nr_3,5.31,0.0,27,0,4.08,1,1,0,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,3,1,0,0
nr_8,6.77,0.0,39,0,5.68,5,1,0,0
nr_9,2.22,0.0,11,0,1.07,4,0,0,0
nr_10,8.67,0.0,49,0,7.07,1,1,1,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,2,1,0,0
nr_3,5.31,0.0,27,0,4.08,2,0,0,0
nr_4,4.53,0.0,25,0,3.24,3,1,1,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,4,1,0,0
nr_7,2.98,0.0,11,0,1.31,4,1,0,0
nr_8,6.77,0.0,39,0,5.68,1,1,1,0
nr_9,2.22,0.0,11,0,1.07,2,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,1,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,3,1,1,0
nr_3,5.31,0.0,27,0,4.08,6,0,0,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,0,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,1,0
nr_7,2.98,0.0,11,0,1.31,5,0,0,0
nr_8,6.77,0.0,39,0,5.68,4,1,0,0
nr_9,2.22,0.0,11,0,1.07,5,1,0,0
nr_10,8.67,0.0,49,0,7.07,4,1,0,0
nr_1,4.24,0.0,21,0,2.32,4,1,1,0
nr_2,6.62,0.0,38,0,5.91,3,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,5,0,0,0
nr_6,4.88,0.0,29,0,4.47,4,1,0,0
nr_7,2.98,0.0,11,0,1.31,4,1,0,0
nr_8,6.77,0.0,39,0,5.68,1,0,0,0
nr_9,2.22,0.0,11,0,1.07,2,1,0,0
nr_10,8.67,0.0,49,0,7.07,5,1,0,0
nr_1,4.24,0.0,21,0,2.32,3,1,1,0
nr_2,6.62,0.0,38,0,5.91,3,1,0,0
nr_3,5.31,0.0,27,0,4.08,2,1,0,0
nr_4,4.53,0.0,25,0,3.24,5,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,4,1,0,0
nr_7,2.98,0.0,11,0,1.31,1,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,0,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,0,0,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,5,0,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,1,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,4,1,0,0
nr_7,2.98,0.0,11,0,1.31,4,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,0,0,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,0,1,0
nr_1,4.24,0.0,21,0,2.32,1,1,0,0
nr_2,6.62,0.0,38,0,5.91,2,1,1,0
nr_3,5.31,0.0,27,0,4.08,2,1,0,0
nr_4,4.53,0.0,25,0,3.24,3,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,1,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,0,0,0
nr_9,2.22,0.0,11,0,1.07,3,0,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,0,0
nr_1,4.24,0.0,21,0,2.32,5,1,0,0
nr_2,6.62,0.0,38,0,5.91,5,1,0,0
nr_3,5.31,0.0,27,0,4.08,1,1,0,0
nr_4,4.53,0.0,25,0,3.24,3,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,0,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,1,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,1,1,0,0
nr_1,4.24,0.0,21,0,2.32,2,0,1,0
nr_2,6.62,0.0,38,0,5.91,1,1,1,0
nr_3,5.31,0.0,27,0,4.08,3,0,0,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,1,0
nr_6,4.88,0.0,29,0,4.47,1,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,0,0
nr_9,2.22,0.0,11,0,1.07,5,1,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,1,0
nr_1,4.24,0.0,21,0,2.32,3,1,0,0
nr_2,6.62,0.0,38,0,5.91,4,1,1,0
nr_3,5.31,0.0,27,0,4.08,2,1,0,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,4,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,3,1,0,0
nr_8,6.77,0.0,39,0,5.68,5,1,0,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,0,0,0
nr_1,4.24,0.0,21,0,2.32,5,0,0,0
nr_2,6.62,0.0,38,0,5.91,1,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,2,0,0,0
nr_5,8.19,0.0,45,0,6.19,1,1,0,0
nr_6,4.88,0.0,29,0,4.47,1,1,1,0
nr_7,2.98,0.0,11,0,1.31,4,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,1,1,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,9,1,0,0
nr_1,4.24,0.0,21,0,2.32,6,1,1,0
nr_2,6.62,0.0,38,0,5.91,3,1,1,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,5,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,3,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,0,0,0
nr_9,2.22,0.0,11,0,1.07,3,0,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,1,0
nr_1,4.24,0.0,21,0,2.32,3,1,0,0
nr_2,6.62,0.0,38,0,5.91,5,0,1,0
nr_3,5.31,0.0,27,0,4.08,2,1,0,0
nr_4,4.53,0.0,25,0,3.24,5,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,0,0,0
nr_6,4.88,0.0,29,0,4.47,5,1,0,0
nr_7,2.98,0.0,11,0,1.31,5,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,1,0
nr_9,2.22,0.0,11,0,1.07,1,1,0,0
nr_10,8.67,0.0,49,0,7.07,4,1,0,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,4,0,1,0
nr_3,5.31,0.0,27,0,4.08,2,1,1,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,1,1,1,0
nr_6,4.88,0.0,29,0,4.47,5,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,0,1,0
nr_9,2.22,0.0,11,0,1.07,5,1,1,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,1,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,3,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,0,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,1,1,1,0
nr_9,2.22,0.0,11,0,1.07,1,1,0,0
nr_10,8.67,0.0,49,0,7.07,5,1,0,0
nr_1,4.24,0.0,21,0,2.32,2,1,1,0
nr_2,6.62,0.0,38,0,5.91,2,0,1,0
nr_3,5.31,0.0,27,0,4.08,4,1,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,0,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,1,0
nr_7,2.98,0.0,11,0,1.31,3,0,0,0
nr_8,6.77,0.0,39,0,5.68,6,0,0,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,4,1,0,0
nr_2,6.62,0.0,38,0,5.91,1,0,1,0
nr_3,5.31,0.0,27,0,4.08,1,1,0,0
nr_4,4.53,0.0,25,0,3.24,5,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,0,1,0
nr_7,2.98,0.0,11,0,1.31,2,0,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,1,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,0,1,0
nr_1,4.24,0.0,21,0,2.32,4,1,0,0
nr_2,6.62,0.0,38,0,5.91,4,1,0,0
nr_3,5.31,0.0,27,0,4.08,2,1,0,0
nr_4,4.53,0.0,25,0,3.24,3,0,0,0
nr_5,8.19,0.0,45,0,6.19,4,0,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,4,1,0,0
nr_9,2.22,0.0,11,0,1.07,4,0,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,1,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,3,0,1,0
nr_3,5.31,0.0,27,0,4.08,2,0,0,0
nr_4,4.53,0.0,25,0,3.24,5,1,0,0
nr_5,8.19,0.0,45,0,6.19,4,0,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,3,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,0,0
nr_9,2.22,0.0,11,0,1.07,4,1,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,0,0
nr_1,4.24,0.0,21,0,2.32,1,1,0,0
nr_2,6.62,0.0,38,0,5.91,3,0,0,0
nr_3,5.31,0.0,27,0,4.08,5,1,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,4,1,1,0
nr_8,6.77,0.0,39,0,5.68,3,1,0,0
nr_9,2.22,0.0,11,0,1.07,2,1,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,1,0
nr_1,4.24,0.0,21,0,2.32,3,1,0,0
nr_2,6.62,0.0,38,0,5.91,4,1,0,0
nr_3,5.31,0.0,27,0,4.08,5,1,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,1,0,0,0
nr_8,6.77,0.0,39,0,5.68,4,1,0,0
nr_9,2.22,0.0,11,0,1.07,3,0,0,0
nr_10,8.67,0.0,49,0,7.07,3,0,0,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,1,1,1,0
nr_3,5.31,0.0,27,0,4.08,2,1,1,0
nr_4,4.53,0.0,25,0,3.24,4,1,1,0
nr_5,8.19,0.0,45,0,6.19,7,1,0,0
nr_6,4.88,0.0,29,0,4.47,5,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,0,0,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,0,1,0
nr_1,4.24,0.0,21,0,2.32,1,1,1,0
nr_2,6.62,0.0,38,0,5.91,2,1,0,0
nr_3,5.31,0.0,27,0,4.08,4,1,0,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,1,0
nr_6,4.88,0.0,29,0,4.47,3,0,1,0
nr_7,2.98,0.0,11,0,1.31,4,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,0,0
nr_9,2.22,0.0,11,0,1.07,3,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,3,0,1,0
nr_2,6.62,0.0,38,0,5.91,3,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,3,1,1,0
nr_5,8.19,0.0,45,0,6.19,3,0,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,0,0
nr_9,2.22,0.0,11,0,1.07,2,0,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,1,0
nr_1,4.24,0.0,21,0,2.32,4,1,0,0
nr_2,6.62,0.0,38,0,5.91,2,1,0,0
nr_3,5.31,0.0,27,0,4.08,1,1,1,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,1,0
nr_6,4.88,0.0,29,0,4.47,5,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,1,1,0,0
nr_9,2.22,0.0,11,0,1.07,2,0,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,4,0,0,0
nr_2,6.62,0.0,38,0,5.91,2,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,1,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,0,1,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,6,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,0,0,0
nr_9,2.22,0.0,11,0,1.07,3,1,1,0
nr_10,8.67,0.0,49,0,7.07,4,0,0,0
nr_1,4.24,0.0,21,0,2.32,3,1,1,0
nr_2,6.62,0.0,38,0,5.91,2,0,1,0
nr_3,5.31,0.0,27,0,4.08,1,1,0,0
nr_4,4.53,0.0,25,0,3.24,3,0,0,0
nr_5,8.19,0.0,45,0,6.19,5,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,1,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,4,1,1,0
nr_9,2.22,0.0,11,0,1.07,1,1,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,0,0
nr_1,4.24,0.0,21,0,2.32,3,1,0,0
nr_2,6.62,0.0,38,0,5.91,1,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,1,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,1,0
nr_6,4.88,0.0,29,0,4.47,5,1,0,0
nr_7,2.98,0.0,11,0,1.31,1,1,0,0
nr_8,6.77,0.0,39,0,5.68,4,0,0,0
nr_9,2.22,0.0,11,0,1.07,7,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,1,0
nr_1,4.24,0.0,21,0,2.32,4,1,1,0
nr_2,6.62,0.0,38,0,5.91,3,0,0,0
nr_3,5.31,0.0,27,0,4.08,5,1,1,0
nr_4,4.53,0.0,25,0,3.24,3,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,1,1,0,0
nr_8,6.77,0.0,39,0,5.68,5,1,0,0
nr_9,2.22,0.0,11,0,1.07,4,0,0,0
nr_10,8.67,0.0,49,0,7.07,4,1,0,0
nr_1,4.24,0.0,21,0,2.32,4,1,0,0
nr_2,6.62,0.0,38,0,5.91,4,1,1,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,5,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,1,0,0
nr_9,2.22,0.0,11,0,1.07,3,0,0,0
nr_10,8.67,0.0,49,0,7.07,4,1,0,0
nr_1,4.24,0.0,21,0,2.32,5,1,0,0
nr_2,6.62,0.0,38,0,5.91,1,1,1,0
nr_3,5.31,0.0,27,0,4.08,2,0,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,1,0,0,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,5,1,0,0
nr_8,6.77,0.0,39,0,5.68,4,1,0,0
nr_9,2.22,0.0,11,0,1.07,2,0,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,0,0
nr_1,4.24,0.0,21,0,2.32,1,1,0,0
nr_2,6.62,0.0,38,0,5.91,3,1,0,0
nr_3,5.31,0.0,27,0,4.08,7,0,0,0
nr_4,4.53,0.0,25,0,3.24,1,1,0,0
nr_5,8.19,0.0,45,0,6.19,1,1,0,0
nr_6,4.88,0.0,29,0,4.47,6,0,1,0
nr_7,2.98,0.0,11,0,1.31,3,1,0,0
nr_8,6.77,0.0,39,0,5.68,1,1,1,0
nr_9,2.22,0.0,11,0,1.07,2,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,0,0,0
nr_1,4.24,0.0,21,0,2.32,1,1,0,0
nr_2,6.62,0.0,38,0,5.91,2,1,0,0
nr_3,5.31,0.0,27,0,4.08,2,1,0,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,2,1,1,0
nr_6,4.88,0.0,29,0,4.47,3,1,0,0
nr_7,2.98,0.0,11,0,1.31,4,0,0,0
nr_8,6.77,0.0,39,0,5.68,3,1,0,0
nr_9,2.22,0.0,11,0,1.07,4,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,5,1,1,0
nr_3,5.31,0.0,27,0,4.08,4,1,0,0
nr_4,4.53,0.0,25,0,3.24,1,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,4,1,0,0
nr_7,2.98,0.0,11,0,1.31,5,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,0,0,0
nr_9,2.22,0.0,11,0,1.07,4,1,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,1,0
nr_1,4.24,0.0,21,0,2.32,5,1,0,0
nr_2,6.62,0.0,38,0,5.91,3,0,0,0
nr_3,5.31,0.0,27,0,4.08,5,0,0,0
nr_4,4.53,0.0,25,0,3.24,2,0,1,0
nr_5,8.19,0.0,45,0,6.19,1,1,0,0
nr_6,4.88,0.0,29,0,4.47,3,0,0,0
nr_7,2.98,0.0,11,0,1.31,3,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,1,0
nr_9,2.22,0.0,11,0,1.07,1,1,0,0
nr_10,8.67,0.0,49,0,7.07,3,1,0,0
nr_1,4.24,0.0,21,0,2.32,5,0,0,0
nr_2,6.62,0.0,38,0,5.91,2,0,0,0
nr_3,5.31,0.0,27,0,4.08,3,0,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,3,1,0,0
nr_8,6.77,0.0,39,0,5.68,4,1,1,0
nr_9,2.22,0.0,11,0,1.07,5,1,0,0
nr_10,8.67,0.0,49,0,7.07,5,1,0,0
nr_1,4.24,0.0,21,0,2.32,1,0,0,0
nr_2,6.62,0.0,38,0,5.91,5,1,0,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,1,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,1,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,1,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,0,1,0
nr_9,2.22,0.0,11,0,1.07,5,1,1,0
nr_10,8.67,0.0,49,0,7.07,3,1,1,0
nr_1,4.24,0.0,21,0,2.32,7,1,1,0
nr_2,6.62,0.0,38,0,5.91,2,0,1,0
nr_3,5.31,0.0,27,0,4.08,1,1,0,0
nr_4,4.53,0.0,25,0,3.24,5,0,0,0
nr_5,8.19,0.0,45,0,6.19,4,1,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,0,0,0
nr_9,2.22,0.0,11,0,1.07,2,1,0,0
nr_10,8.67,0.0,49,0,7.07,4,1,0,0
nr_1,4.24,0.0,21,0,2.32,4,0,0,0
nr_2,6.62,0.0,38,0,5.91,2,0,1,0
nr_3,5.31,0.0,27,0,4.08,3,1,0,0
nr_4,4.53,0.0,25,0,3.24,2,1,0,0
nr_5,8.19,0.0,45,0,6.19,4,0,1,0
nr_6,4.88,0.0,29,0,4.47,2,0,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,2,1,1,0
nr_9,2.22,0.0,11,0,1.07,2,1,0,0
nr_10,8.67,0.0,49,0,7.07,5,1,0,0
nr_1,4.24,0.0,21,0,2.32,2,1,0,0
nr_2,6.62,0.0,38,0,5.91,3,0,1,0
nr_3,5.31,0.0,27,0,4.08,5,1,0,0
nr_4,4.53,0.0,25,0,3.24,4,1,0,0
nr_5,8.19,0.0,45,0,6.19,3,1,0,0
nr_6,4.88,0.0,29,0,4.47,4,1,0,0
nr_7,2.98,0.0,11,0,1.31,2,1,0,0
nr_8,6.77,0.0,39,0,5.68,3,1,0,0
nr_9,2.22,0.0,11,0,1.07,1,1,0,0
nr_10,8.67,0.0,49,0,7.07,2,1,0,0
nr_1,4.24,0.0,21,0,2.32,2,0,0,0
nr_2,6.62,0.0,38,0,5.91,4,1,0,0
nr_3,5.31,0.0,27,0,4.08,2,1,0,0
nr_4,4.53,0.0,25,0,3.24,1,0,1,0
nr_5,8.19,0.0,45,0,6.19,2,1,0,0
nr_6,4.88,0.0,29,0,4.47,2,1,0,0
nr_7,2.98,0.0,11,0,1.31,3,0,0,0
nr_8,6.77,0.0,39,0,5.68,2,0,1,0
nr_9,2.22,0.0,11,0,1.07,1,1,0,0
nr_10,8.67,0.0,49,0,7.07,4,1,0,0
